mean,median,sd,max,min,day,ais1
4.4,4,2.9,18,1,1,AIS A
5.5,5,3.4,23,1,2,AIS A
6.4,6,3.9,27,1,3,AIS A
6.9,6,3.7,23,1,4,AIS A
7.0,6,4.0,26,1,5,AIS A
7.2,7,4.1,33,1,6,AIS A
7.5,7,4.1,27,1,7,AIS A
7.6,7,4.1,25,1,8,AIS A
7.5,7,3.9,26,1,9,AIS A
7.5,7,4.0,27,1,10,AIS A
7.8,7,4.4,30,1,11,AIS A
7.6,7,4.4,32,1,12,AIS A
7.6,7,4.4,30,1,13,AIS A
7.5,7,4.3,27,1,14,AIS A
7.3,7,4.2,30,1,15,AIS A
7.3,7,4.5,32,1,16,AIS A
7.1,6,4.3,28,1,17,AIS A
6.9,6,4.2,32,1,18,AIS A
7.0,6,4.3,31,1,19,AIS A
6.9,6,4.3,30,1,20,AIS A
6.8,6,4.3,30,1,21,AIS A
6.5,6,4.1,30,1,22,AIS A
6.5,6,4.4,31,1,23,AIS A
6.4,6,4.3,31,1,24,AIS A
6.3,6,4.2,32,1,25,AIS A
6.2,5,4.4,31,1,26,AIS A
6.0,5,4.2,29,1,27,AIS A
5.9,5,4.1,28,1,28,AIS A
5.7,5,3.8,28,1,29,AIS A
5.6,5,3.8,28,1,30,AIS A
5.4,5,3.7,30,1,31,AIS A
5.3,5,3.7,29,1,32,AIS A
5.3,5,3.7,29,1,33,AIS A
5.2,5,3.5,29,1,34,AIS A
5.0,4,3.5,29,1,35,AIS A
4.8,4,3.6,29,1,36,AIS A
4.7,4,3.5,29,1,37,AIS A
4.7,4,3.4,29,1,38,AIS A
4.7,4,3.4,29,1,39,AIS A
4.6,4,3.4,29,1,40,AIS A
4.4,4,3.2,20,1,41,AIS A
4.4,4,3.2,20,1,42,AIS A
4.4,4,3.2,20,1,43,AIS A
4.2,4,3.3,21,1,44,AIS A
4.1,3.5,3.1,22,1,45,AIS A
4.1,3,3.2,25,1,46,AIS A
4.0,3,3.2,26,1,47,AIS A
3.9,3,3.2,30,1,48,AIS A
3.7,3,2.8,17,1,49,AIS A
3.6,3,2.7,17,1,50,AIS A
3.5,3,2.7,17,1,51,AIS A
3.4,3,2.6,17,1,52,AIS A
3.1,2,2.5,16,1,53,AIS A
2.9,2,2.4,16,1,54,AIS A
2.9,2,2.4,16,1,55,AIS A
2.7,2,2.4,16,1,56,AIS A
2.6,2,2.6,16,1,57,AIS A
2.7,2,2.7,17,1,58,AIS A
2.7,2,2.7,17,1,59,AIS A
2.5,1,2.4,16,1,60,AIS A
4.2,4,3.3,15,1,1,AIS B
4.8,5,2.7,15,1,2,AIS B
5.9,5,3.6,20,1,3,AIS B
6.1,6,3.1,18,1,4,AIS B
6.6,6,3.3,19,1,5,AIS B
6.8,6,3.6,20,1,6,AIS B
6.8,6,3.5,19,1,7,AIS B
6.7,6,3.6,23,1,8,AIS B
6.9,6,4.2,26,1,9,AIS B
7.2,6.5,4.5,26,1,10,AIS B
7.1,7,4.1,27,1,11,AIS B
7.4,7,4.4,26,1,12,AIS B
7.2,7,4.3,26,1,13,AIS B
7.2,7,4.4,25,1,14,AIS B
7.4,7,4.8,26,1,15,AIS B
6.9,6,4.4,27,1,16,AIS B
6.4,6,4.2,28,1,17,AIS B
6.7,6,4.3,27,1,18,AIS B
6.8,6,4.2,27,2,19,AIS B
6.3,5.5,4.5,27,1,20,AIS B
6.1,5,4.5,31,1,21,AIS B
6.1,5,4.4,30,1,22,AIS B
6.5,5.5,5.1,34,1,23,AIS B
5.9,5,4.9,33,1,24,AIS B
5.8,4,4.9,33,1,25,AIS B
5.5,4,5.0,35,1,26,AIS B
5.7,4,4.9,34,1,27,AIS B
5.7,4,5.0,36,1,28,AIS B
5.4,4,4.9,34,1,29,AIS B
5.5,4,4.9,34,1,30,AIS B
5.5,4,4.9,34,1,31,AIS B
5.2,4,4.8,33,1,32,AIS B
4.8,3.5,4.7,34,1,33,AIS B
4.1,3,2.8,14,1,34,AIS B
4.3,3,2.9,16,1,35,AIS B
4.2,4,2.9,17,1,36,AIS B
4.1,3,3.1,20,1,37,AIS B
4.1,4,2.6,14,1,38,AIS B
4.1,4,2.6,13,1,39,AIS B
3.9,3,2.5,13,1,40,AIS B
4,3,2.9,14,1,41,AIS B
3.8,3,2.6,11,1,42,AIS B
3.6,3,2.6,11,1,43,AIS B
3.6,3,2.6,11,1,44,AIS B
3.5,3,2.6,12,1,45,AIS B
3.5,3,2.6,10,1,46,AIS B
3.6,3,2.7,12,1,47,AIS B
3.6,3,2.7,10,1,48,AIS B
3.4,2,2.8,11,1,49,AIS B
3.3,2,2.6,11,1,50,AIS B
3.4,3,2.5,11,1,51,AIS B
3.3,2,2.4,10,1,52,AIS B
3.1,2,2.1,9,1,53,AIS B
2.9,2,2.3,10,1,54,AIS B
3.0,2,2.9,15,1,55,AIS B
2.7,2,2.0,8,1,56,AIS B
2.6,2,2.1,8,1,57,AIS B
2.8,2,2.1,9,1,58,AIS B
2.6,2,1.8,7,1,59,AIS B
2.7,2.5,1.5,6,1,60,AIS B
4.2,4,2.5,12,1,1,AIS C
5.3,5,2.8,16,1,2,AIS C
6.3,5.5,3.6,22,1,3,AIS C
6.9,6,3.8,24,1,4,AIS C
7.1,6.5,4.0,25,1,5,AIS C
6.5,5,3.8,26,1,6,AIS C
6.7,6,3.9,26,1,7,AIS C
6.7,6,3.8,25,1,8,AIS C
6.7,6,4.0,25,1,9,AIS C
6.6,6,4.0,26,1,10,AIS C
6.8,6,4.1,25,1,11,AIS C
6.7,6,4.0,25,1,12,AIS C
6.5,6,3.9,26,1,13,AIS C
6.5,6,4.1,30,1,14,AIS C
6.3,6,4.0,29,1,15,AIS C
6.7,6,4.4,30,1,16,AIS C
6.4,6,4.0,29,1,17,AIS C
6.0,6,3.9,30,1,18,AIS C
5.9,6,3.8,29,1,19,AIS C
6.0,5,4.0,30,1,20,AIS C
5.8,5,4.2,34,1,21,AIS C
5.8,5,4.1,34,1,22,AIS C
5.7,5,4.6,35,1,23,AIS C
5.6,5,4.3,35,1,24,AIS C
5.5,5,4.1,35,1,25,AIS C
5.5,5,4.2,38,1,26,AIS C
5.4,5,3.3,16,1,27,AIS C
5.3,5,3.3,15,1,28,AIS C
5.1,5,3.2,16,1,29,AIS C
5.2,5,3.1,15,1,30,AIS C
5.0,5,3.1,15,1,31,AIS C
4.8,4,3.1,15,1,32,AIS C
4.7,4,3.0,15,1,33,AIS C
4.6,4,2.9,14,1,34,AIS C
4.5,4,3.0,16,1,35,AIS C
4.4,4,2.9,14,1,36,AIS C
4.2,4,2.8,13,1,37,AIS C
4.1,3,3.3,19,1,38,AIS C
3.9,3,2.8,13,1,39,AIS C
3.8,3,2.7,13,1,40,AIS C
3.7,3,2.7,14,1,41,AIS C
3.6,3,2.6,14,1,42,AIS C
3.5,3,2.4,13,1,43,AIS C
3.5,3,2.4,13,1,44,AIS C
3.4,3,2.4,13,1,45,AIS C
3.4,3,2.4,13,1,46,AIS C
3.3,3,2.4,13,1,47,AIS C
3.0,2,2.2,12,1,48,AIS C
3.0,3,2.1,12,1,49,AIS C
3.0,3,2.1,12,1,50,AIS C
3.0,3,2.2,12,1,51,AIS C
2.9,3,2.1,12,1,52,AIS C
2.9,3,2.1,12,1,53,AIS C
2.8,2,2.0,12,1,54,AIS C
2.7,2,2.1,12,1,55,AIS C
2.4,2,2.0,12,1,56,AIS C
2.4,2,2.1,12,1,57,AIS C
2.3,1,2.2,12,1,58,AIS C
2.3,1,2.4,12,1,59,AIS C
2.4,1.5,2.4,12,1,60,AIS C
4.1,4,2.3,9,1,1,AIS D
4.3,4,2.2,9,1,2,AIS D
5.3,5,2.6,10,1,3,AIS D
6.0,5.5,3.5,19,1,4,AIS D
6.1,5,4.0,22,1,5,AIS D
6.6,6,3.4,14,1,6,AIS D
6.4,6,2.5,11,2,7,AIS D
5.8,5,2.4,12,2,8,AIS D
5.9,5.5,3.1,15,1,9,AIS D
5.4,6,3.0,13,1,10,AIS D
5.2,5,2.8,13,1,11,AIS D
5.5,5.5,2.6,11,1,12,AIS D
5.2,5,2.3,9,1,13,AIS D
4.6,5,2.2,10,1,14,AIS D
4.3,4,2.0,9,1,15,AIS D
4.3,4,2.1,11,1,16,AIS D
4.7,4,2.8,14,1,17,AIS D
4.3,4,2.5,11,1,18,AIS D
4.2,4,2.3,10,1,19,AIS D
4.0,4,2.3,10,1,20,AIS D
4.2,4,2.2,11,1,21,AIS D
4.3,4,2.3,12,1,22,AIS D
4.1,4,2.4,12,1,23,AIS D
4.1,3.5,2.4,11,1,24,AIS D
4.0,4,2.2,10,1,25,AIS D
4.1,4,2.2,11,1,26,AIS D
4.1,4,2.1,10,1,27,AIS D
3.7,4,1.8,9,1,28,AIS D
4.0,4,2.0,11,1,29,AIS D
3.7,4,1.6,8,1,30,AIS D
3.8,4,1.8,9,1,31,AIS D
3.8,4,1.9,9,1,32,AIS D
3.6,4,1.8,8,1,33,AIS D
3.2,3,1.8,8,1,34,AIS D
3.2,3,2.1,9,1,35,AIS D
3.4,3,2.4,11,1,36,AIS D
3.3,3,2.3,10,1,37,AIS D
3.2,3,2.3,10,1,38,AIS D
3.0,2.5,2.5,10,1,39,AIS D
3.4,3,2.5,10,1,40,AIS D
3.2,2,2.6,10,1,41,AIS D
3.5,2.5,2.9,11,1,42,AIS D
3.6,2.5,3.1,12,1,43,AIS D
3.4,2.5,2.6,10,1,44,AIS D
3.9,3,2.9,11,1,45,AIS D
3.8,3,2.9,11,1,46,AIS D
3.6,3,2.8,11,1,47,AIS D
3.6,2.5,2.9,11,1,48,AIS D
3.5,2.5,3.2,11,1,49,AIS D
3.8,2.5,3.5,12,1,50,AIS D
3.5,2.5,2.8,9,1,51,AIS D
3.4,2.5,2.7,9,1,52,AIS D
2.9,1,2.7,9,1,53,AIS D
2.8,1,2.8,9,1,54,AIS D
2.6,1,2.6,9,1,55,AIS D
2.4,1,2.3,8,1,56,AIS D
2.3,1,2.2,7,1,57,AIS D
2,1,2.1,7,1,58,AIS D
2.2,1,2.1,6,1,59,AIS D
1.2,1,0.4,2,1,60,AIS D
4.2,3,4.1,25,1,1,Unknown
5.4,5,3.6,19,1,2,Unknown
6.2,6,3.4,19,1,3,Unknown
6.5,6,3.4,18,1,4,Unknown
6.8,6,4.0,27,1,5,Unknown
6.8,6,4.1,27,1,6,Unknown
6.8,6,4.1,29,1,7,Unknown
7.1,6.5,4.2,30,1,8,Unknown
7.0,6,4.0,27,1,9,Unknown
7.2,7,4.2,27,1,10,Unknown
7.0,6,4.3,29,1,11,Unknown
6.9,6,4.4,26,1,12,Unknown
6.4,5,4.3,27,1,13,Unknown
6.2,5,4.4,26,1,14,Unknown
6.1,5,4.7,29,1,15,Unknown
5.8,4,4.7,30,1,16,Unknown
5.5,4,4.4,30,1,17,Unknown
5.1,4,4.1,27,1,18,Unknown
5.1,4,4.5,32,1,19,Unknown
4.8,4,3.3,16,1,20,Unknown
4.8,4,3.4,18,1,21,Unknown
5.0,4,3.7,19,1,22,Unknown
5.0,4,3.4,17,1,23,Unknown
4.8,4,3.4,18,1,24,Unknown
4.8,4,3.4,17,1,25,Unknown
4.8,4,3.5,17,1,26,Unknown
4.8,4,3.5,17,1,27,Unknown
4.7,4,3.3,17,1,28,Unknown
4.7,4,3.2,17,1,29,Unknown
4.4,4,3.2,17,1,30,Unknown
4.7,4,3.1,17,1,31,Unknown
4.6,4,3.0,15,1,32,Unknown
4.6,4,2.7,11,1,33,Unknown
4.4,4,2.7,12,1,34,Unknown
4.5,4,3.0,17,1,35,Unknown
4.4,4,3.4,18,1,36,Unknown
4.5,4,3.1,16,1,37,Unknown
4.4,4,3.1,15,1,38,Unknown
4.2,4,3.0,15,1,39,Unknown
4.2,4,2.8,13,1,40,Unknown
4.1,3,3.0,13,1,41,Unknown
4.1,3,3.0,13,1,42,Unknown
4.1,3,2.9,12,1,43,Unknown
4.0,3,2.8,12,1,44,Unknown
4.4,3.5,3.3,13,1,45,Unknown
4.4,4,3.2,14,1,46,Unknown
4.4,4,3.3,13,1,47,Unknown
4.4,3,4.1,26,1,48,Unknown
4.0,3,3.4,18,1,49,Unknown
4.0,3,3.1,12,1,50,Unknown
4.1,3,3.3,11,1,51,Unknown
3.8,3,3.3,13,1,52,Unknown
3.5,2.5,3.0,13,1,53,Unknown
3.3,2,2.7,11,1,54,Unknown
3.1,2,2.5,10,1,55,Unknown
3.1,2,2.6,10,1,56,Unknown
3.0,2,2.3,8,1,57,Unknown
2.9,2,2.3,8,1,58,Unknown
3.2,2,2.3,9,1,59,Unknown
3.5,2.5,2.5,9,1,60,Unknown